musicname & artist,length,rms_mean,rms_var,bpm,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,spectral_rolloff_var,chroma_frequencies_mean,chroma_frequencies_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
Make Me Move - Culture Code,1323000,0.23828533,0.004692321,95.703125,0.118436886,0.10440959,3.49E-06,0.04239064,6.05E-06,0.009542857,2783.220322,347531.3574,2711.080491,97195.63829,5983.626318,1438508.854,0.344531,0.08436964,-24.393944,1928.8986,69.03492,587.18176,-8.374842,372.70844,21.678917,184.33147,6.66604,140.5066,8.286662,141.7196,-0.17744148,101.71921,4.5866375,128.26674,-5.112976,78.79251,3.4475029,74.09365,-5.181124,64.9951,3.4808183,88.16636,1.5163076,87.94859,9.375129,65.337425,0.7354465,83.70254,4.9862676,109.66711,-2.027788,81.64834,3.4389043,93.6195,-2.4594712,98.29068,7.227648,68.46672
Invincible - DEAF KEV,1323000,0.3545848,0.01218352,198.7680288,0.122825397,0.107739319,-8.70E-07,0.07780701,-0.000375499,0.030430151,3113.935631,302411.6944,2942.091494,38063.8921,6816.333783,640449.4059,0.45840576,0.080579385,23.543718,2210.088,57.397118,438.7082,2.7321346,249.55898,19.80377,140.4991,2.0986505,125.22516,9.631836,114.269196,0.81599176,82.35365,6.5073047,83.45578,-1.4440918,80.16259,3.841102,76.34063,-3.0387633,81.00017,4.912841,90.17554,-0.7532534,77.28039,5.163174,89.025505,-1.7042398,85.936676,3.4342248,57.133236,-0.8781131,59.548393,3.9645233,76.91266,-0.68565613,56.989532,3.327268,55.040863
My Heart - Different Heaven & EH!DE,1323000,0.35452083,0.006974699,172.265625,0.105957672,0.094730644,1.25E-05,0.0910284,-2.05E-05,0.019726528,3302.179761,239605.984,3003.41849,25203.28728,7087.44881,385726.7812,0.45930284,0.0870789,9.064474,1937.9639,43.21842,408.41013,1.2802677,199.4763,21.394653,145.12842,2.949515,113.03747,12.526037,99.09471,0.60492253,86.035515,10.700526,117.072464,5.83093,147.67271,13.772893,149.85295,4.5014405,165.78381,8.061242,152.56235,-0.9578697,114.73567,4.9945164,128.94466,0.03773787,106.697136,6.2391353,115.35555,0.27988252,87.28598,5.6079416,60.436375,-2.0131102,69.68661,5.126949,99.13222
Heros Tonight - Janji,1323000,0.27535272,0.005669483,129.1992188,0.118304611,0.10430863,0.000256946,0.05294435,-2.53E-05,0.010373231,2579.015002,373293.3049,2484.487358,107792.1479,5352.209303,1408529.775,0.32579148,0.085044,-11.942491,1402.9287,76.23216,548.93085,-19.145674,309.00446,15.500731,203.65381,-7.394071,184.32217,6.380371,200.21443,-8.435725,224.42874,2.2709088,139.37053,-5.6871214,110.21749,0.042852823,109.977554,-4.8265605,118.60572,9.893178,146.7643,-8.088009,120.94282,4.820454,109.34813,1.8447315,67.8485,3.901933,64.437935,-1.8168981,63.567085,0.4531303,107.087036,-5.9314923,98.74401,1.5216752,67.58321
Dreams pt. 2 - Lost Sky,1323000,0.2863506,0.009111249,143.5546875,0.118101285,0.104153371,-2.71E-05,0.050739553,0.000174749,0.014607985,2806.342073,340611.6655,2855.137619,88247.01625,6353.461581,1461915.296,0.43772745,0.077239156,13.547992,1079.786,76.22371,322.25378,1.2697009,186.56024,19.8473,189.65585,8.19847,119.396866,7.885756,86.438866,1.3466576,68.50272,9.900428,74.671486,0.8287951,62.36007,7.7070684,48.59676,-0.90474945,42.260574,4.288561,36.101418,-1.2967502,51.837776,5.7127023,36.688038,1.0209036,41.337574,5.87789,37.414886,1.0968488,34.880943,5.406359,41.000652,-0.8762944,32.80092,3.122795,34.88745
Where We Started - Lost Sky,1323000,0.26709858,0.011040017,151.9990809,0.101928949,0.091539439,0.000724973,0.047999363,0.001807813,0.014036089,2368.097938,716817.2025,2564.363537,283326.2232,5100.048327,3680817.241,0.36951572,0.090647876,-34.101685,2892.2183,93.17749,1258.2063,0.32853127,463.0714,17.974672,232.81609,4.3478956,124.64476,5.312124,233.13255,10.186366,114.62417,2.400664,124.18063,-0.62573403,80.44029,9.265261,85.54576,-4.8437815,107.97284,4.972054,68.949875,-3.016302,66.03389,4.1578217,75.58528,-0.29842937,94.74491,4.215463,95.184875,0.2932101,79.37344,1.9506507,85.73127,-1.4248599,71.97117,6.2937026,85.859245
Light It Up - Robin Hustin x TobiMorrow,1323000,0.31880298,0.014716744,129.1992188,0.127554044,0.11128401,-2.12E-06,0.06962983,-2.42E-05,0.018156255,2866.010509,630462.8305,2694.306452,137450.1488,5936.726601,2583244.217,0.47052512,0.083999574,16.021664,4460.0664,70.66667,745.5878,-13.088028,324.65945,20.440191,267.3207,5.187809,109.84323,2.657253,251.00203,2.2538445,70.977,5.4856334,116.974976,-0.35527572,95.51755,6.790508,72.99491,-1.0249385,79.87748,4.94639,69.36697,0.044794515,47.331116,7.1356,50.700935,-0.40629673,58.891018,5.551817,69.45066,0.016183056,62.257263,5.5722027,44.882603,-0.031142786,45.03617,3.6694381,50.108597
Shine - Spektrem,1323000,0.32760322,0.011005482,129.1992188,0.129623583,0.11282131,1.16E-05,0.079311684,2.07E-05,0.012360108,3089.358617,215731.1578,2866.430638,26943.58802,6677.642955,489606.7605,0.4408582,0.079439275,24.718695,1158.5869,56.29298,184.45685,-8.136225,135.419,16.5597,95.6535,5.5332885,71.33465,14.493923,61.033634,-3.7192557,65.38024,7.9724264,78.69609,-0.22871384,62.5832,4.855743,59.879017,-1.7400907,53.746403,4.705873,82.74344,-1.4650011,47.177277,5.0364156,49.217346,-0.8951466,51.204002,4.6755514,41.43384,-2.5555773,50.082508,4.2665834,50.26726,-2.8111918,40.341682,1.2837546,53.596107
Cradles - Sub Urban,1323000,0.29415056,0.035555903,161.4990234,0.12384127,0.10850461,0.000318146,0.05650573,0.002871509,0.039737877,2488.389735,1545199.75,2229.115382,428226.8245,4785.346064,5080460.75,0.35355127,0.10464379,-73.95311,10658.394,69.54231,2944.9631,-24.23051,1458.2876,11.387658,480.6888,-8.374475,469.35034,-5.6963277,433.79495,-11.939538,255.98085,-9.132785,252.89897,-13.503746,193.30809,-4.552326,160.45473,-10.687208,176.68158,-2.776018,129.38484,-10.643701,139.05312,-4.383475,94.447395,-4.5219717,119.24028,-3.0754013,92.06823,-4.1479635,96.61161,-2.0682554,84.45486,-2.8511868,126.94471,3.4021592,203.03839
Candyland - Tobu,1323000,0.27581614,0.025812134,129.1992188,0.131611489,0.114289905,0.000966558,0.06492046,0.003725699,0.015074363,2768.645579,395252.8003,2591.92954,138618.0384,5789.448325,1730007.345,0.37297532,0.08659391,-15.245553,3659.061,65.85492,687.0952,-22.48675,338.25943,13.873807,178.5372,4.26384,121.08726,10.726836,99.08697,-0.91694003,116.39284,6.333729,127.14273,-5.982784,153.63264,3.870331,155.9042,0.41634896,137.27405,6.3868804,147.04547,-2.9092586,114.40294,1.2207959,84.75336,-2.7546372,58.479614,2.1450758,45.620968,-2.3516371,53.653152,3.8569193,53.537865,-3.6151853,55.770947,0.8797281,50.48307
